127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/big3.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/big2.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/color5.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/color1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/big4.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/color2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/color3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/biglittle2.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/biglittle3.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/biglittle4.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/buypic.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:09 +0800] "GET /NiceShop/images/big1little1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:38:21 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5200
127.0.0.1 - - [21/Dec/2017:15:38:21 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:15:38:21 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:39:06 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5225
127.0.0.1 - - [21/Dec/2017:15:39:06 +0800] "GET /NiceShop/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:06 +0800] "GET /NiceShop/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:06 +0800] "GET /NiceShop/images/item1%20(1).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:06 +0800] "GET /NiceShop/images/item1%20(2).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:06 +0800] "GET /NiceShop/images/item1%20(3).JPG HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:06 +0800] "GET /NiceShop/images/bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:06 +0800] "GET /NiceShop/images/close1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:06 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:39:06 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:15:39:26 +0800] "GET /NiceShop HTTP/1.1" 302 -
127.0.0.1 - - [21/Dec/2017:15:39:26 +0800] "GET /NiceShop/ HTTP/1.1" 200 5619
127.0.0.1 - - [21/Dec/2017:15:39:28 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5225
127.0.0.1 - - [21/Dec/2017:15:39:28 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:15:39:28 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:39:32 +0800] "GET /NiceShop/ZY-ball.jsp HTTP/1.1" 200 5653
127.0.0.1 - - [21/Dec/2017:15:39:32 +0800] "GET /NiceShop/js/ZY-ball.js HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:32 +0800] "GET /NiceShop/css/ZY-ball.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:32 +0800] "GET /NiceShop/images/BB_Mens_All_BB.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:33 +0800] "GET /NiceShop/images/liladeb3.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:33 +0800] "GET /NiceShop/images/bcolor2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:33 +0800] "GET /NiceShop/images/liladeb1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:33 +0800] "GET /NiceShop/images/bcolor1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:33 +0800] "GET /NiceShop/images/liladeb2.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:33 +0800] "GET /NiceShop/images/bcoolor3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:33 +0800] "GET /NiceShop/images/bcolor4.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:33 +0800] "GET /NiceShop/images/liladeb1-1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:33 +0800] "GET /NiceShop/images/liladeb2-1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:33 +0800] "GET /NiceShop/images/liladeb3-1.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:39:37 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5225
127.0.0.1 - - [21/Dec/2017:15:39:37 +0800] "GET /NiceShop/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1106
127.0.0.1 - - [21/Dec/2017:15:39:37 +0800] "GET /NiceShop/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1105
127.0.0.1 - - [21/Dec/2017:15:39:49 +0800] "GET /NiceShop/images/KobeShoe.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:40:17 +0800] "GET /NiceShop/ HTTP/1.1" 200 5619
127.0.0.1 - - [21/Dec/2017:15:40:17 +0800] "GET /NiceShop/logo.ico HTTP/1.1" 200 1150
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/ZY-Jordan.jsp HTTP/1.1" 200 5538
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/images/Jordanshoes1.png HTTP/1.1" 200 182809
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/css/ZY-Jordan.css HTTP/1.1" 200 4245
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/js/ZY-Jordan.js HTTP/1.1" 200 1894
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/images/Jordanshoes2.png HTTP/1.1" 200 125025
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/images/Jordanshoes4.png HTTP/1.1" 200 262579
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/images/Jordanshoes3.png HTTP/1.1" 200 167668
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/images/Jordanshoescolor.jpg HTTP/1.1" 200 1929
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/images/Jordanshoes3-1.png HTTP/1.1" 200 31558
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/images/Jordanshoes1-1.png HTTP/1.1" 200 32475
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/images/Jordanshoes2-1.png HTTP/1.1" 200 27379
127.0.0.1 - - [21/Dec/2017:15:40:25 +0800] "GET /NiceShop/images/Jordanshoes4-1.png HTTP/1.1" 200 38786
127.0.0.1 - - [21/Dec/2017:15:40:53 +0800] "GET /NiceShop/login.jsp HTTP/1.1" 200 1931
127.0.0.1 - - [21/Dec/2017:15:40:53 +0800] "GET /NiceShop/css/login.css HTTP/1.1" 200 2034
127.0.0.1 - - [21/Dec/2017:15:40:53 +0800] "GET /NiceShop/images/logoin.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:40:53 +0800] "GET /NiceShop/images/Login.jpg HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:40:53 +0800] "GET /NiceShop/images/btn.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:40:57 +0800] "GET /NiceShop/ZY-Jordan.jsp HTTP/1.1" 200 5538
127.0.0.1 - - [21/Dec/2017:15:41:54 +0800] "GET /NiceShop/ZY-KOBE.jsp HTTP/1.1" 200 5787
127.0.0.1 - - [21/Dec/2017:15:41:58 +0800] "GET /NiceShop/ZY-Jordan.jsp HTTP/1.1" 200 5538
127.0.0.1 - - [21/Dec/2017:15:50:02 +0800] "GET /NiceShop/gwc.jsp HTTP/1.1" 200 5092
127.0.0.1 - - [21/Dec/2017:15:50:03 +0800] "GET /NiceShop/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Dec/2017:15:50:03 +0800] "GET /NiceShop/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
